fu_element 1;fu_A1;fu_Z1;fu_element 2;fu_A2;fu_Z2;fu_element;fu_A;fu_Z;fu_MeV;fi_element;fi_A;fi_Z;element 1;fi_A1;fi_Z1;fi_element 2;fi_A2;fi_Z2;fi_MeV
Н;1;1;D;2;1;He;3;2;5,493;Sr;84;38;Si;30;14;Cr;54;24;0,6856
D;2;1;D;2;1;Не;4;2;23,8472;Sr;84;38;S;34;16;Ti;50;22;0,6716
Н;1;1;Ag;107;47;Cd;108;48;8,1925;Zr;94;40;Ca;46;20;Ca;48;20;0,082
Н;1;1;Ag;109;47;Cd;110;48;8,9004;Zr;96;40;Ca;48;20;Ca;48;20;3,236
D;2;1;Ag;109;47;Cd;111;48;13,3129;Mo;92;42;Si;30;14;Ni;62;28;3,8974
Не;4;2;Ag;109;47;In;113;49;2,8159;Mo;92;42;Si;28;14;Ni;64;28;1,3078
Li;7;3;Ag;107;47;Sn;114;50;13,9864;Mo;94;42;Si;30;14;Ni;64;28;2,8131
Li;6;3;Ag;109;47;Sn;115;50;15,1796;Mo;92;42;S;34;16;Fe;58;26;4,8
Li;7;3;Ag;109;47;Sn;116;50;17,3211;Mo;92;42;Cl;37;17;Mn;55;25;2,1797
B;11;5;Ag;109;47;Te;120;52;8,8445;Mo;92;42;Ar;40;18;Cr;52;24;3,1596
Н;1;1;Al;27;13;Si;28;14;11,5813;Mo;92;42;Ar;38;18;Cr;54;24;4,365
D;2;1;Al;27;13;Si;29;14;17,8344;Mo;94;42;Ar;40;18;Cr;54;24;3,2388
Не;4;2;Al;27;13;P;31;15;9,6643;Mo;92;42;K;41;19;V;51;23;0,4443
Li;6;3;Al;27;13;S;33;16;23,4737;Mo;92;42;Ca;44;20;Ti;48;22;2,6566
Li;7;3;Al;27;13;S;34;16;27,6421;Mo;94;42;Ca;46;20;Ti;48;22;2,8904
B;11;5;Al;27;13;Ar;38;18;26,189;Mo;96;42;Ca;48;20;Ti;48;22;3,9486
C;12;6;Al;27;13;K;39;19;16,6002;Mo;95;42;Ca;46;20;Ti;49;22;3,8787
C;13;6;Al;27;13;K;40;19;19,4505;Mo;97;42;Ca;48;20;Ti;49;22;5,1418
N;15;7;Al;27;13;Ca;42;20;21,4383;Mo;92;42;Ca;42;20;Ti;50;22;2,6753
O;18;8;Al;27;13;Sc;45;21;23,0787;Mo;94;42;Ca;44;20;Ti;50;22;4,1545
F;19;9;Al;27;13;Ti;46;22;25,4363;Mo;96;42;Ca;46;20;Ti;50;22;5,6551
Na;23;11;Al;27;13;Cr;50;24;23,5267;Mo;98;42;Ca;48;20;Ti;50;22;7,7845
Al;27;13;Al;27;13;Fe;54;26;21,8426;Mo;95;42;Ti;47;22;Ca;48;20;1,4895
Н;1;1;Ar;38;18;K;39;19;6,3677;Ru;96;44;Mg;26;12;Ge;70;32;0,5887
D;2;1;Ar;38;18;K;40;19;11,9408;Ru;96;44;Mg;24;12;Ge;72;32;0,4406
Н;1;1;Ar;40;18;K;41;19;7,8003;Ru;98;44;Mg;26;12;Ge;72;32;0,7703
Не;4;2;Ar;36;18;Ca;40;20;7,044;Ru;99;44;Mg;26;12;Ge;73;32;0,1202
Не;4;2;Ar;38;18;Ca;42;20;6,241;Ru;96;44;Al;27;13;Ga;69;31;0,3568
He;3;2;Ar;40;18;Ca;43;20;18,289;Ru;96;44;Si;30;14;Zn;66;30;7,2573
Не;4;2;Ar;40;18;Ca;44;20;8,8464;Ru;96;44;Si;29;14;Zn;67;30;3,6887
Li;7;3;Ar;38;18;Sc;45;21;21,2483;Ru;96;44;Si;28;14;Zn;68;30;5,4101
Be;9;4;Ar;38;18;Ti;47;22;21,5669;Ru;98;44;Si;30;14;Zn;68;30;6,4031
Be;9;4;Ar;40;18;Ti;49;22;24,8737;Ru;98;44;Si;28;14;Zn;70;30;3,0041
B;10;5;Ar;40;18;V;50;23;26,229;Ru;99;44;Si;29;14;Zn;70;30;3,9505
B;11;5;Ar;40;18;V;51;23;25,8126;Ru;100;44;Si;30;14;Zn;70;30;3,6431
C;12;6;Ar;38;18;Cr;50;24;15,5317;Ru;96;44;P;31;15;Cu;65;29;5,6365
C;12;6;Ar;40;18;Cr;52;24;20,3718;Ru;96;44;S;34;16;Ni;62;28;10,6097
C;13;6;Ar;40;18;Cr;53;24;23,3684;Ru;96;44;S;32;16;Ni;64;28;7,0486
N;15;7;Ar;40;18;Mn;55;25;22,7639;Ru;98;44;S;34;16;Ni;64;28;9,0131
O;18;8;Ar;36;18;Fe;54;26;25,2314;Ru;96;44;Cl;37;17;Co;59;27;7,9307
O;16;8;Ar;38;18;Fe;54;26;16,7846;Ru;96;44;Ar;40;18;Fe;56;26;9,5795
O;18;8;Ar;38;18;Fe;56;26;25,1066;Ru;96;44;Ar;38;18;Fe;58;26;10,8081
O;16;8;Ar;40;18;Fe;56;26;20,8347;Ru;98;44;Ar;40;18;Fe;58;26;9,1696
O;17;8;Ar;40;18;Fe;57;26;24,3344;Ru;96;44;K;41;19;Mn;55;25;7,1828
O;18;8;Ar;40;18;Fe;58;26;26,3352;Ru;96;44;Ca;46;20;Cr;50;24;7,3215
F;19;9;Ar;40;18;Co;59;27;25,7083;Ru;98;44;Ca;48;20;Cr;50;24;6,6006
Ne;22;10;Ar;36;18;Ni;58;28;21,9749;Ru;96;44;Ca;44;20;Cr;52;24;10,8016
Ne;20;10;Ar;38;18;Ni;58;28;18,4669;Ru;98;44;Ca;46;20;Cr;52;24;10,5231
Ne;22;10;Ar;38;18;Ni;60;28;21,729;Ru;100;44;Ca;48;20;Cr;52;24;9,4481
Ne;20;10;Ar;40;18;Ni;60;28;22,3959;Ru;96;44;Ca;43;20;Cr;53;24;7,6094
Ne;21;10;Ar;40;18;Ni;61;28;23,4587;Ru;99;44;Ca;46;20;Cr;53;24;10,9357
Ne;22;10;Ar;40;18;Ni;62;28;23,6823;Ru;101;44;Ca;48;20;Cr;53;24;10,3452
Na;23;11;Ar;40;18;Cu;63;29;21,0164;Ru;96;44;Ca;42;20;Cr;54;24;9,4016
Mg;26;12;Ar;38;18;Zn;64;30;15,0632;Ru;98;44;Ca;44;20;Cr;54;24;10,3685
Mg;24;12;Ar;40;18;Zn;64;30;17,0314;Ru;100;44;Ca;46;20;Cr;54;24;9,736
Mg;26;12;Ar;40;18;Zn;66;30;17,6304;Ru;102;44;Ca;48;20;Cr;54;24;11,6232
Si;30;14;Ar;40;18;Ge;70;32;10,9618;Ru;96;44;Sc;45;21;V;51;23;7,1753
S;34;16;Ar;40;18;Se;74;34;7,2647;Ru;96;44;Ti;48;22;Ti;48;22;10,9022
Ar;38;18;Ar;40;18;Kr;78;36;4,4162;Ru;96;44;Ti;47;22;Ti;49;22;7,4287
Ar;40;18;Ar;40;18;Kr;80;36;7,8106;Ru;98;44;Ti;49;22;Ti;49;22;9,097
Н;1;1;As;75;33;Se;76;34;9,4789;Ru;96;44;Ti;46;22;Ti;50;22;9,4798
D;2;1;As;75;33;Se;77;34;14,6692;Ru;98;44;Ti;48;22;Ti;50;22;11,8877
Не;4;2;As;75;33;Br;79;35;5,4353;Ru;99;44;Ti;49;22;Ti;50;22;12,5034
Li;7;3;As;75;33;Kr;82;36;22,4509;Ru;100;44;Ti;50;22;Ti;50;22;12,5193
B;11;5;As;75;33;Sr;86;38;20,1436;Rh;103;45;O;16;8;Rb;87;37;0,6567
N;15;7;As;75;33;Zr;90;40;16,1782;Rh;103;45;Al;27;13;Ge;76;32;1,7745
O;18;8;As;75;33;Nb;93;41;13,7116;Rh;103;45;Ca;48;20;Mn;55;25;13,3977
F;19;9;As;75;33;Mo;94;42;14,2006;Pd;102;46;C;12;6;Zr;90;40;0,5775
Na;23;11;As;75;33;Ru;98;44;5,452;Pd;102;46;O;16;8;Sr;86;38;0,7126
Н;1;1;Au;197;79;Hg;198;80;7,0579;Pd;104;46;O;16;8;Sr;88;38;2,8271
D;2;1;Au;197;79;Hg;199;80;11,5487;Pd;106;46;O;16;8;Sr*;90;38;0,8896
Li;7;3;Au;197;79;Pb;204;82;8,838;Pd;106;46;Ne;22;10;Kr;84;36;0,2897
D;2;1;B;10;5;C;12;6;25,1885;Pd;106;46;Ne;20;10;Kr;86;36;0,1313
Н;1;1;B;11;5;C;12;6;15,9565;Pd;108;46;Ne;22;10;Kr;86;36;1,7866
D;2;1;B;11;5;C;13;6;18,6793;Pd;102;46;Mg;26;12;Se;76;34;2,9063
Не;4;2;B;10;5;N;14;7;11,4574;Pd;102;46;Mg;24;12;Se;78;34;2,3725
He;3;2;B;11;5;N;14;7;20,5795;Pd;104;46;Mg;26;12;Se;78;34;3,3729
Не;4;2;B;11;5;N;15;7;10,9916;Pd;104;46;Mg;24;12;Se;80;34;1,8658
Li;6;3;B;10;5;O;16;8;30,879;Pd;105;46;Mg;25;12;Se;80;34;2,1313
Li;7;3;B;10;5;O;17;8;27,7678;Pd;106;46;Mg;26;12;Se;80;34;3,8163
Li;6;3;B;11;5;O;17;8;23,564;Pd;102;46;Al;27;13;As;75;33;1,7
Li;7;3;B;11;5;O;18;8;24,3586;Pd;102;46;Si;30;14;Ge;72;32;8,4738
Be;9;4;B;10;5;F;19;9;24,8895;Pd;102;46;Si;29;14;Ge;73;32;4,7404
B;10;5;B;10;5;Ne;20;10;31,1454;Pd;102;46;Si;28;14;Ge;74;32;6,3928
B;10;5;B;11;5;Ne;21;10;26,4498;Pd;104;46;Si;30;14;Ge;74;32;8,0565
B;11;5;B;11;5;Ne;22;10;25,3599;Pd;104;46;Si;28;14;Ge;76;32;4,9118
D;2;1;Ba;136;56;La;138;57;10,8538;Pd;105;46;Si;29;14;Ge;76;32;6,3239
Н;1;1;Ba;137;56;La;138;57;6,1246;Pd;106;46;Si;30;14;Ge;76;32;7,5255
D;2;1;Ba;137;56;La;139;57;12,6702;Pd;102;46;P;31;15;Ga;71;31;5,9029
Н;1;1;Ba;138;56;La;139;57;6,3109;Pd;102;46;S;34;16;Zn;68;30;11,3735
Не;4;2;Ba;132;56;Ce;136;58;0,5803;Pd;102;46;S;32;16;Zn;70;30;7,003
Не;4;2;Ba;134;56;Ce;138;58;1,1113;Pd;104;46;S;34;16;Zn;70;30;9,6382
He;3;2;Ba;135;56;Ce;138;58;14,7921;Pd;102;46;Cl;37;17;Cu;65;29;10,4868
Не;4;2;Ba;136;56;Ce;140;58;1,0647;Pd;102;46;Ar;40;18;Ni;62;28;13,2375
He;3;2;Ba;137;56;Ce;140;58;14,6897;Pd;102;46;Ar;38;18;Ni;64;28;13,2794
Li;7;3;Ba;134;56;Pr;141;59;12,0396;Pd;104;46;Ar;40;18;Ni;64;28;12,3116
Li;6;3;Ba;135;56;Pr;141;59;12,3945;Pd;102;46;Ca;48;20;Fe;54;26;12,0684
Be;9;4;Ba;134;56;Nd;143;60;6,405;Pd;102;46;Ca;46;20;Fe;56;26;15,2011
Be;9;4;Ba;135;56;Nd;144;60;7,3178;Pd;104;46;Ca;48;20;Fe;56;26;15,1508
Be;9;4;Ba;136;56;Nd;145;60;4,0855;Pd;105;46;Ca;48;20;Fe;57;26;15,7264
Be;9;4;Ba;137;56;Nd;146;60;4,7096;Pd;102;46;Ca;44;20;Fe;58;26;15,0697
Н;1;1;Be;9;4;B;10;5;6,5875;Pd;104;46;Ca;46;20;Fe;58;26;15,4619
D;2;1;Be;9;4;B;11;5;15,8196;Pd;106;46;Ca;48;20;Fe;58;26;16,3617
He;3;2;Be;9;4;C;12;6;26,283;Pd;102;46;Ti;50;22;Cr;52;24;18,2908
Не;4;2;Be;9;4;C;13;6;10,6516;Pd;102;46;Ti;49;22;Cr;53;24;15,297
Li;6;3;Be;9;4;N;15;7;25,3404;Pd;102;46;Ti;48;22;Cr;54;24;16,8722
Be;9;4;Be;9;4;O;18;8;23,4848;Pd;104;46;Ti;50;22;Cr;54;24;18,5283
Н;1;1;Br;79;35;Kr;80;36;9,1193;Pd;102;46;V;51;23;V;51;23;15,8205
Н;1;1;Br;81;35;Kr;82;36;9,9539;Ag;107;47;N;15;7;Zr;92;40;0,2534
D;2;1;Br;81;35;Kr;83;36;15,1973;Ag;107;47;O;18;8;Y;89;39;0,354
