A;Z;element;a.e.m;MeV;%
0;-1;e-;0,0005486;0,511;100
1;0;п;1,008665;939,565;13 min
1;1;Н;1,007825;938,783;99,985
2;1;D;2,014102;1876,124;0,015
3;2;He;3,01603;2809,414;0,00013
4;2;Не;4,002603;3728,401;99,9999
6;3;Li;6,015126;5603,054;7,42
7;3;Li;7,016005;6535,367;92,58
9;4;Be;9,012186;8394,798;100
10;5;B;10,012939;9326,994;19,6
11;5;B;11,009305;10255,103;80,4
12;6;C;12;11177,929;98,89
13;6;C;13,003354;12112,548;1,11
14;7;N;14,003242;13043,937;99,63
15;7;N;15,000108;13972,512;0,37
16;8;O;15,994915;14899,169;99,759
17;8;O;16,999134;15834,593;0,037
18;8;O;17,99916;16766,111;0,204
19;9;F;18,998405;17696,902;100
20;10;Ne;19,992442;18622,842;90,92
21;10;Ne;20,993849;19555,646;0,257
22;10;Ne;21,991385;20484,845;8,82
23;11;Na;22,989773;21414,838;100
24;12;Mg;23,985045;22341,928;78,7
25;12;Mg;24,98584;23274,163;10,13
26;12;Mg;25,982591;24202,63;11,17
27;13;Al;26,981535;25133,141;100
28;14;Si;27,976927;26060,342;92,21
29;14;Si;28,976491;26991,43;4,7
30;14;Si;29,973761;27920,382;3,09
31;15;P;30,973763;28851,877;100
32;16;S;31,972074;29781,798;95
33;16;S;32,971461;30712,721;0,76
34;16;S;33,967865;31640,866;4,22
35;17;Cl;34,968855;32573,282;75,53
37;17;Cl;36,965896;34433,514;24,47
36;18;Ar;35,967548;33503,559;0,337
38;18;Ar;37,962725;35362,054;0,063
40;18;Ar;39,962384;37224,725;99,6
39;19;K;38,963714;36294,47;93,1
40;19;K;39,964008;37226,238;0,0118
41;19;K;40,961835;38155,708;6,88
40;20;Ca;39,962589;37224,916;96,97
42;20;Ca;41,958628;39084,214;0,64
43;20;Ca;42,95878;40015,85;0,145
44;20;Ca;43,95549;40944,28;2,06
46;20;Ca;45,953689;42805,59;0,0033
48;20;Ca;47,952363;44667,343;0,18
45;21;Sc;44,995919;41913,433;100
46;22;Ti;45,952633;42804,607;7,93
47;22;Ti;46,951758;43735,286;7,28
48;22;Ti;47,947948;44663,231;73,94
49;22;Ti;48,947867;45594,649;5,51
50;22;Ti;49,94479;46523,277;5,34
50;23;V;49,947165;46525,49;0,24
51;23;V;50,943978;47454,015;99,76
50;24;Cr;49,946051;46524,452;4,31
52;24;Cr;51,940514;48382,282;83,76
53;24;Cr;52,940651;49313,904;9,55
54;24;Cr;53,938879;50243,748;2,38
55;25;Mn;54,938054;51174,473;100
54;26;Fe;53,939621;50244,439;5,82
56;26;Fe;55,934932;52103,059;91,66
57;26;Fe;56,935394;53034,984;2,19
58;26;Fe;57,933272;53964,501;0,33
59;27;Co;58,93319;54895,919;100
60;27;Co*;59,933806;55827,987;5,27 years
58;28;Ni;57,935342;53966,429;67,88
60;28;Ni;59,930783;55825,171;26,23
61;28;Ni;60,931049;56756,913;1,19
62;28;Ni;61,928345;57685,888;3,66
64;28;Ni;63,927959;59548,517;1,08
63;29;Cu;62,929595;58618,546;69,09
65;29;Cu;64,927786;60479,85;30,91
64;30;Zn;63,929145;59549,621;48,89
66;30;Zn;65,926048;61409,725;27,81
67;30;Zn;66,927149;62342,244;4,11
68;30;Zn;67,924865;63271,611;18,57
70;30;Zn;69,925348;65135,049;0,62
69;31;Ga;68,925682;64203,866;60,4
71;31;Ga;70,92484;66066,07;39,6
70;32;Ge;69,924377;65134,145;20,52
72;32;Ge;71,922082;66994,995;27,43
73;32;Ge;72,92336;67927,68;7,76
74;32;Ge;73,92115;68857,115;36,54
76;32;Ge;75,92136;70720,299;7,67
75;33;As;74,92158;69789,01;100
74;34;Se;73,92245;68858,326;0,87
76;34;Se;75,919229;70718,314;9,02
77;34;Se;76,919934;71650,465;17,58
78;34;Se;77,917348;72579,55;23,52
80;34;Se;79,916512;74441,759;49,82
79;35;Br;78,918348;73511,976;50,54
81;35;Br;80,916344;75373,097;49,46
78;36;Kr;77,920368;72582,363;0,35
80;36;Kr;79,916383;74441,639;2,27
82;36;Kr;81,913483;76301,926;11,56
83;36;Kr;82,914131;77234,024;11,55
84;36;Kr;83,911504;78163,071;56,9
86;36;Kr;85,910617;80025,233;17,37
85;37;Rb;84,91171;79094,757;72,51
87;37;Rb;86,90918;80955,388;27,85
84;38;Sr;83,913376;78164,815;0,56
86;38;Sr;85,90926;80023,969;9,86
87;38;Sr;86,90889;80955,118;7,02
88;38;Sr;87,90561;81883,557;82,56
90;38;Sr*;89,90733;83748,147;28 years
89;39;Y;88,90543;82814,884;100
90;40;Zr;89,90432;83745,344;51,46
91;40;Zr;90,90525;84677,704;11,23
92;40;Zr;91,90459;85608,583;17,11
94;40;Zr;93,90614;87473,015;17,4
96;40;Zr;95,9082;89337,922;2,8
93;41;Nb;92,90602;86541,409;100
92;42;Mo;91,90629;85610,167;15,84
94;42;Mo;93,90474;87471,711;9,06
95;42;Mo;94,90572;88404,118;15,72
96;42;Mo;95,90455;89334,522;16,33
97;42;Mo;96,90575;90267,134;9,46
98;42;Mo;97,90551;91198,405;23,78
100;42;Mo;99,90757;93063,312;9,13
96;44;Ru;95,9076;89337,364;5,51
98;44;Ru;97,9055;91198,396;1,87
99;44;Ru;98,90608;92130,43;12,72
100;44;Ru;99,90302;93059,074;12,62
101;44;Ru;100,90412;93991,592;17,07
102;44;Ru;101,90372;94922,714;31,61
104;44;Ru;103,90553;96787,388;18,57
103;45;Rh;102,9048;95855,214;100
102;46;Pd;101,90494;94923,85;0,96
104;46;Pd;103,90356;96785,553;10,97
105;46;Pd;104,90464;97718,053;22,23
106;46;Pd;105,9032;98648,206;27,33
108;46;Pd;107,90392;100511,865;26,71
